time,lon,lat,depth,mag
2022-10-05T16:40:40.937000Z,-70.4804,-22.6817,23.707,4.1
2022-10-05T08:26:19.604000Z,-80.6093,-4.8739,35.0,5.8
2022-10-05T01:48:52.697000Z,-66.8011,-24.0349,193.765,4.4
2022-10-05T00:50:42.024000Z,-69.3152,-20.3041,95.927,4.7
2022-10-04T16:30:17.442000Z,-67.2181,-24.3964,183.028,4.3
2022-10-04T15:51:01.153000Z,-66.5385,-27.8355,160.55,4.8
2022-10-04T13:08:57.612000Z,-68.7347,-22.1875,117.578,4.9
2022-10-04T02:50:17.971000Z,-78.5799,-9.907,45.895,4.5
2022-10-03T19:39:59.732000Z,-66.7392,-24.1258,192.522,4.4
2022-10-03T13:14:54.392000Z,-80.3428,-2.9509,47.005,4.4
2022-10-03T08:04:42.636000Z,-70.4474,-22.7329,26.097,4.3
2022-10-03T02:00:39.024000Z,-75.8969,-8.6326,10.0,4.5
2022-10-03T01:48:48.907000Z,-75.9074,-8.6466,10.0,4.6
2022-10-02T10:36:37.881000Z,-68.7299,-21.1003,144.903,4.1
2022-10-02T07:55:13.606000Z,-74.0013,-15.6087,59.383,4.2
2022-10-02T00:16:24.053000Z,-69.5409,-19.6924,97.8,4.1
2022-10-01T08:40:25.804000Z,-66.782,-23.3347,209.863,4.3
2022-10-01T06:23:54.801000Z,-74.5299,-7.9533,152.392,4.7
2022-10-01T05:33:38.225000Z,-69.1339,-20.8448,113.42,4.1
2022-09-30T19:02:27.092000Z,-68.6758,-21.8881,130.593,4.1
2022-09-30T15:40:04.357000Z,-68.2338,-28.1345,89.708,4.6
2022-09-30T13:22:38.917000Z,-69.9954,-20.0335,51.035,2.9
2022-09-30T12:09:28.960000Z,-75.4886,-16.276,10.0,4.6
2022-09-30T07:41:13.582000Z,-71.7768,-32.1153,32.088,4.3
2022-09-30T07:35:33.692000Z,-68.5344,-22.6027,123.847,4.0
2022-09-29T15:09:51.566000Z,-69.765,-28.882,115.348,4.5
2022-09-28T20:03:59.521000Z,-73.6718,-14.2805,82.919,4.6
2022-09-28T11:47:52.829000Z,-70.5372,-25.6105,72.077,4.4
2022-09-28T09:53:12.116000Z,-77.0086,-3.1211,57.812,4.4
2022-09-28T03:23:22.895000Z,-69.974,-19.273,61.137,4.2
2022-09-27T17:48:06.882000Z,-68.5534,-23.1676,172.197,4.4
2022-09-27T17:25:36.843000Z,-70.0428,-19.4893,66.485,4.4
2022-09-27T05:36:47.580000Z,-73.1662,-33.0866,10.0,4.4
2022-09-26T21:46:06.060000Z,-72.6129,-33.6886,19.871,4.3
2022-09-25T17:34:05.476000Z,-69.358,-19.4887,108.984,4.1
2022-09-24T08:02:30.421000Z,-72.4951,-33.6572,21.876,4.6
2022-09-24T05:57:44.042000Z,-66.7486,-23.966,211.397,4.3
2022-09-23T23:44:45.513000Z,-80.6001,-1.857,51.245,4.3
2022-09-23T20:17:05.986000Z,-71.5368,-28.9896,35.33,4.6
2022-09-23T17:58:57.783000Z,-80.1195,-8.5461,27.777,4.6
2022-09-23T17:48:17.953000Z,-66.1639,-22.2635,267.065,4.0
2022-09-23T10:01:21.531000Z,-67.2257,-23.9814,210.494,4.4
2022-09-23T07:49:15.858000Z,-67.4897,-23.4424,141.184,4.6
2022-09-23T01:39:24.689000Z,-72.0669,-18.5218,21.24,4.5
2022-09-23T00:28:37.858000Z,-69.0012,-21.9687,141.631,4.5
2022-09-22T23:10:06.479000Z,-80.2239,-8.7481,21.046,4.2
2022-09-22T21:08:05.608000Z,-67.1724,-27.3514,140.922,4.2
2022-09-22T17:39:31.198000Z,-75.5366,-15.6036,10.0,4.3
2022-09-22T16:47:30.105000Z,-68.6292,-24.6807,102.867,4.2
2022-09-22T15:10:58.695000Z,-68.7483,-24.9875,106.299,4.0
2022-09-22T07:32:08.125000Z,-66.5596,-21.3909,236.836,4.3
2022-09-22T04:06:48.341000Z,-67.6407,-22.4479,192.567,4.4
2022-09-22T03:35:00.313000Z,-74.1293,-16.4392,35.0,4.0
2022-09-22T03:33:50.425000Z,-66.8931,-24.0762,217.536,4.2
2022-09-21T19:42:07.433000Z,-69.0435,-20.114,110.498,4.2
2022-09-21T02:34:11.608000Z,-68.987,-23.6233,105.717,4.3
2022-09-20T13:06:07.940000Z,-67.0243,-24.1598,210.712,3.8
2022-09-20T10:01:22.672000Z,-67.5473,-22.299,184.299,4.5
2022-09-20T04:37:09.581000Z,-68.5063,-21.9541,111.606,4.2
2022-09-20T03:09:54.887000Z,-66.3387,-22.9414,256.006,4.2
